Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
23106,Army Men II,Shooter,E,PC,3DO,3DO,,,,,,,,,1999.0
23107,Army Men: Air Attack,Action,,PC,3DO,Aqua Pacific,,,,,,,,,2001.0
23108,Army Men: Air Combat,Action,E,GB,3DO,Fluid Studios,,,,,,,,,2000.0
23109,Army Men: Air Tactics,Action,E,PC,3DO,3DO,,,,,,,,,2000.0
23110,Army Men: Major Malfunction,Shooter,,PS2,Unknown,Team17 Software,,,,,,,,,2000.0
23111,Army Men: RTS,Strategy,T,PC,3DO,Pandemic Studios,,,,,,,,,2002.0
23112,Army Men: Sarge's Heroes,Shooter,T,DC,Midway Games,Midway,5.9,,,,,,,,2000.0
23113,Army Men: Sarge's Heroes,Action,,PC,3DO,Aqua Pacific,,,,,,,,,2000.0
23114,Army Men: Sarge's Heroes 2,Action,E,GB,3DO,Game Brains,,,,,,,,,2000.0
23115,Army Men: Sarge's War,Shooter,T,PS2,Global Star Software,Tactical Development,,,,,,,,,2004.0
23116,Army Men: Sarge's War,Shooter,T,PC,Global Star Software,Tactical Development,,,,,,,,,2004.0
23117,Army Men: Soldiers of Misfortune,Shooter,E,PS2,Zoo Games,"Big Blue Bubble, Inc.",,,,,,,,,2008.0
23118,Army Men: Toys in Space,Action,E,PC,3DO,3DO,,,,,,,,,1999.0
23119,Army Men: War Chest,Misc,T,PC,3DO,3DO,,,,,,,,,2002.0
23120,Army Men: World War,Action,T,PS,3DO,Unknown,,,,,,,,,2000.0
23121,Army Men: World War,Action,E,PC,3DO,3DO,,,,,,,,,2000.0
23122,Army of Two,Shooter,M,XBL,Electronic Arts,EA Montreal,,,,,,,,,2009.0
23123,Army of Two: SSC Challenge Map Pack,Shooter,M,XBL,Electronic Arts,EA Montreal,,,,,,,,,2008.0
23124,Army of Two: SSC Challenge Map Pack,Shooter,M,PSN,Electronic Arts,EA Montreal,,,,,,,,,2008.0
23125,Army of Two: The 40th Day,Shooter,M,PSN,Electronic Arts,Buzz Monkey Software,4.8,,,,,,,,2010.0
23126,Army of Two: The 40th Day,Shooter,M,XBL,Electronic Arts,EA Montreal,,,,,,,,,2010.0
23127,Army of Two: The 40th Day - Chapters of Deceit,Shooter,M,XBL,Electronic Arts,EA Montreal,,,,,,,,,2010.0
23128,Army of Two: The 40th Day - Chapters of Deceit,Shooter,M,PSN,Electronic Arts,EA Montreal,,,,,,,,,2010.0
23129,Army of Two: Veteran Map Pack,Shooter,M,XBL,Electronic Arts,EA Montreal,,,,,,,,,2008.0
23130,Army of Two: Veteran Map Pack,Shooter,M,PSN,Electronic Arts,EA Montreal,,,,,,,,,2008.0
23131,Army Racer,Racing,,PC,Techland,Comgame 576 Ltd.,,,,,,,,,2005.0
